VNUM	TYPE	MODEL	NAME	REG_1	REG_2	REG_3	REG_4	XROT_LIMIT	YROT_LIMIT	ZROT_LIMIT	PRICE	MATERIALS	NPC	GROUP	DEPEND_GROUP	???????
14013	FACILITY	jedan	Fierar Arme	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20044	2	1	1
14014	FACILITY	jedan	Fierar Armuri	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20045	2	1	1
14015	FACILITY	jedan	Bijutier	-525	-525	525	525	0	0	360	20000000	90010,20/90011,30/90012,20	20046	2	1	1
14033	FACILITY	suryeonjang	Punct de Instruire	-832.57	-472.99	832.57	472.99	0	0	360	20000000	90010,25/90011,25/90012,25	0	0	0	2
14043	FACILITY	yonggwangro	Prelucrãtor Diamante	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20060	3	1	1
14045	FACILITY	yonggwangro	Prelucrãtor Lemn	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20062	3	1	1
14046	FACILITY	yonggwangro	Prelucrãtor Cupru	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20063	3	1	1
14047	FACILITY	yonggwangro	Prelucrãtor Argint	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20064	3	1	1
14048	FACILITY	yonggwangro	Prelucrãtor Aur	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20065	3	1	1
14049	FACILITY	yonggwangro	Prelucrãtor Jad	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20066	3	1	1
14050	FACILITY	yonggwangro	Prelucrãtor Ebonitã	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20067	3	1	1
14051	FACILITY	yonggwangro	Prelucrãtor Perle	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20068	3	1	1
14052	FACILITY	yonggwangro	Prelucrãtor Platinã	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20069	3	1	1
14053	FACILITY	yonggwangro	Prelucrãtor Cristal	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20070	3	1	1
14054	FACILITY	yonggwangro	Prelucrãtor Ametist	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20071	3	1	1
14055	FACILITY	yonggwangro	Prelucrãtor Lacrimã	-179.63	-199.89	179.63	199.89	0	0	360	20000000	90010,15/90011,20/90012,25	20072	3	1	1
14061	FACILITY	himuijedan_01	Altarul Puterii	-523.91	-995.84	527.55	750.99	0	0	360	25000000	90010,25/90011,25/90012,25	20077	4	1	1
14062	FACILITY	himuijedan_02	Altarul Puterii	-586.17	-995.84	587.18	818.56	0	0	360	500000000	90010,50/90011,50/90012,50	20078	4	4	2
14063	FACILITY	himuijedan_03	Altarul Puterii	-664.7	-995.84	665.7	896.57	0	0	360	750000000	90010,75/90011,75/90012,75	20079	4	4	2
14071	FACILITY	guildbank_01	Depozit Breaslã	-523.91	-995.84	527.55	750.99	0	0	360	25000000	"90010,25/90011,25/90012,25"	60000	6	1	1
14072	FACILITY	guildbank_02	Depozit Breaslã	-586.17	-995.84	587.18	818.56	0	0	360	500000000	"90010,50/90011,50/90012,50"	60001	6	6	2
