ACCE_ABSORB_COST	Pret Absorbtie: %d
ACCE_ALREADY_REGISTER	Acest obiect a fost deja folosit.
ACCE_DEL_ABSORDITEM	Absorbi obiectul, distrugandu-l inaces proces?
ACCE_DEL_SERVEITEM	Esarfa 2 va fi distrusa daca esueaza combinatia.
ACCE_DEL_SERVEITEM2	Eºarfa 2 va fi distrusã daca va eºua combinaþia.
ACCE_INITEM	Trage obiectul in fereastra.
ACCE_MAXGRADE	Acesta a fost deja personalizat.
ACCE_MAX_DRAINRATE	Max. Ratã de Absorbþie
ACCE_NOTABSORBITEM	Nu poti folosi o bucata de arma sau armura ce a fost deja absorbita.
ACCE_NOT_SEALITEM	Nu poti folosi niciun obiect personalizat.
ACCE_NOT_USINGITEM	Nu poti combina un obiect echipat.
ACCE_NOT_WINDOWOPEN	Nu poti folosi acest obiect daca fereastra folosita la combinatii este deschisa.
ACCE_POSSIBLE_ACCE	Poti folosi doar Esarfe.
ACCE_POSSIBLE_ACCEITEM	Poti extrage doar bonusurile din arme si armuri.
AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greºealã de atac necunoscutã: %s
ATTENDANCE_REWARD_QUESTION	Doreºti sã colectezi recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Nu poþi folosi acest obiect în timp ce se adaugã un bonus.
ATTR_6TH_7TH_ADD_QUESTION2	Doreºti sã adaugi un bonus?
ATTR_6TH_7TH_CHANGE_FAIL	Nu poþi schimba bonusul.
ATTR_6TH_7TH_DESC1	a. Trebuie sã adaugi materialele necesare obiectului pentru a adãuga al 6lea ºi al 7lea bonus.
ATTR_6TH_7TH_DESC2	b. Fiecare marcasitã creºte rata de succes cu 2%.
ATTR_6TH_7TH_DESC3	c. Foloseºte un aditiv pentru a creºte rata de succes ºi mai mult.
ATTR_6TH_7TH_DESC4	d. Dureazã 24 de ore pentru a adãuga un bonus. În acest timp, NPC va pãstra obiectul pe care ar trebui adãugat bonusul. Imediat ce procesul este complet, îl poþi recupera.
ATTR_6TH_7TH_POSSIBILITY	Poþi adãuga un bonus adiþional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Ratã de succes: %.1f%%
AURA_DRAIN_PER	Ratã absorbþie %.1f%%
AURA_EVOLUTION_GOLD	[Aura] Yang insuficient pentru evoluare.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Obiectul transmis nu poate fi utilizat.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Obiectele echipate nu pot fi transmise.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nu poate fi evoluat.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Numãrul de obiecte nu este suficient pentru evoluare.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nu poate fi îmbunãtãþit.
